State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Property Crime,Motor Vehicle Theft
ALABAMA,HUNTSVILLE4,2018,196620,,,,,,
ALABAMA,HUNTSVILLE4,2019,196620,872,12,79,159,3854,496
ALABAMA,TUSCALOOSA,2018,101764,253,3,20,71,2092,109
ALABAMA,TUSCALOOSA,2019,101764,311,4,18,92,2166,147
ARIZONA,CHANDLER,2018,255986,287,1,74,62,2771,161
ARIZONA,CHANDLER,2019,255986,295,2,63,55,2511,154
ARIZONA,GILBERT,2018,247463,132,1,49,15,1705,82
ARIZONA,GILBERT,2019,247463,116,0,27,21,1416,64
ARIZONA,GLENDALE,2018,249799,594,7,69,171,4830,493
ARIZONA,GLENDALE,2019,249799,384,8,29,122,4067,376
ARIZONA,MESA,2018,504873,967,10,143,192,5113,461
ARIZONA,MESA,2019,504873,969,4,133,177,4813,399
ARIZONA,PEORIA,2018,170177,201,2,33,29,1596,91
ARIZONA,PEORIA,2019,170177,219,1,49,52,1696,116
ARIZONA,PHOENIX,2018,1653080,6118,67,566,1438,28854,3928
ARIZONA,PHOENIX,2019,1653080,5659,70,550,1564,28196,3418
ARIZONA,SCOTTSDALE,2018,254961,211,7,53,52,2853,141
ARIZONA,SCOTTSDALE,2019,254961,200,3,59,52,2797,131
ARIZONA,SURPRISE,2018,136611,67,3,10,20,1088,90
ARIZONA,SURPRISE,2019,136611,83,2,15,32,1052,72
ARIZONA,TEMPE,2018,188543,448,3,75,97,3567,270
ARIZONA,TEMPE,2019,188543,430,3,66,103,3690,296
ARIZONA,TUCSON,2018,537392,2027,26,255,670,13925,1276
ARIZONA,TUCSON,2019,537392,1936,27,264,560,9809,1105
ARKANSAS,LITTLE ROCK,2018,199288,1336,19,121,150,6236,525
ARKANSAS,LITTLE ROCK,2019,199288,1464,20,105,170,5494,497
CALIFORNIA,ANAHEIM,2018,354743,578,2,70,195,4399,697
CALIFORNIA,ANAHEIM,2019,354743,497,6,49,174,4164,617
CALIFORNIA,ANTIOCH,2018,112956,283,1,24,102,1479,291
CALIFORNIA,ANTIOCH,2019,112956,290,5,28,108,1634,336
CALIFORNIA,BAKERSFIELD,2018,385609,911,18,60,402,8330,1458
CALIFORNIA,BAKERSFIELD,2019,385609,862,18,57,367,7575,1277
CALIFORNIA,BERKELEY,2018,123735,270,1,31,167,2581,263
CALIFORNIA,BERKELEY,2019,123735,283,0,25,174,2776,226
CALIFORNIA,BURBANK,2018,105041,129,0,7,48,1362,106
CALIFORNIA,BURBANK,2019,105041,87,1,7,34,1324,113
CALIFORNIA,CARLSBAD,2018,116739,115,1,19,23,1081,82
CALIFORNIA,CARLSBAD,2019,116739,129,2,28,17,1068,85
CALIFORNIA,CHULA VISTA,2018,274370,406,4,43,114,1905,354
CALIFORNIA,CHULA VISTA,2019,274370,396,2,21,122,1847,393
CALIFORNIA,CLOVIS,2018,111759,106,1,23,15,1271,87
CALIFORNIA,CLOVIS,2019,111759,125,0,25,16,1120,80
CALIFORNIA,CONCORD,2018,130855,246,1,27,103,2151,279
CALIFORNIA,CONCORD,2019,130855,237,1,34,102,2255,300
CALIFORNIA,CORONA,2018,170041,127,4,27,49,1535,262
CALIFORNIA,CORONA,2019,170041,125,3,31,45,1796,276
CALIFORNIA,COSTA MESA,2018,114358,170,3,35,59,1911,160
CALIFORNIA,COSTA MESA,2019,114358,134,0,16,51,1903,184
CALIFORNIA,DALY CITY,2018,107928,113,2,18,45,719,83
CALIFORNIA,DALY CITY,2019,107928,122,0,26,47,897,95
CALIFORNIA,DOWNEY,2018,113277,174,3,7,83,1353,325
