Years,Firearmbackgroundchecks(Items),Alabama(Items),Alaska(Items),Arizona(Items),Arkansas(Items),California(Items),Colorado(Items),Connecticut(Items),Delaware(Items),DistrictofColumbia(Items),Florida(Items),Georgia(Items),Hawaii(Items),Idaho(Items),Illinois(Items),Indiana(Items),Iowa(Items),Kansas(Items),Kentucky(Items),Louisiana(Items),Maine(Items),Maryland(Items),Massachusetts(Items),Michigan(Items),Minnesota(Items),Mississippi(Items),Missouri(Items),Montana(Items),Nebraska(Items),Nevada(Items),NewHampshire(Items),NewJersey(Items),NewMexico(Items),NewYork(Items),NorthCarolina(Items),NorthDakota(Items),Ohio(Items),Oklahoma(Items),Oregon(Items),Pennsylvania(Items),PuertoRico(Items),RhodeIsland(Items),SouthCarolina(Items),SouthDakota(Items),Tennessee(Items),Texas(Items),Utah(Items),Vermont(Items),Virginia(Items),Washington(Items),WestVirginia(Items),Wisconsin(Items),Wyoming(Items)
1998,892840,36568,3985,17453,21752,67445,23798,6870,2135,0,32341,3819,431,7339,41477,22518,14650,12386,31869,27642,4106,9007,1443,30596,12116,26097,24087,6406,6655,6439,2442,3795,9033,14736,38943,2437,32481,20075,14024,48317,513,1059,9565,2751,24773,82399,10682,2116,25194,12002,14194,15442,3486
1999,9138123,246756,43073,173548,184616,883144,257308,87209,17594,21,279700,409810,5343,79914,484848,203182,92222,106108,248212,196015,47160,91381,24314,307769,177929,182114,206636,73027,47959,62375,37711,38601,94406,186627,309707,29864,297597,169436,160358,541555,5190,10677,145493,31327,264214,710025,77718,22218,208554,133674,134471,179340,35476
2000,8543037,221911,39959,148263,169628,794506,307512,87586,15347,17,266035,352357,6609,77138,449771,182319,87796,96716,229896,174706,45028,84309,54843,300661,185100,163980,191578,71115,44825,49807,40120,37106,84034,163974,290884,32358,274165,156988,135336,481294,5301,9414,128618,36723,234673,662970,67420,20300,188508,134255,128258,180492,34295
2001,8910191,230187,39959,147582,166062,854569,348696,89689,16619,17,303396,325521,7464,75400,462702,195780,89658,95408,238996,177775,50019,83347,66635,363424,191935,159421,199470,74752,44401,50549,45727,39527,84874,175967,289571,32105,292159,164126,141295,509881,7095,10233,132781,40861,230779,672746,67518,20657,196181,161380,138421,181798,34454
2002,8454322,221008,36793,142260,153424,684390,183754,93598,16388,7,288848,285201,7807,74062,446138,188235,90358,94110,229423,169580,49922,78764,94824,353540,192392,149948,197990,76322,43177,47155,49666,43318,80057,160927,268916,31339,297033,159489,137513,567702,8148,9521,121976,44282,223048,664745,61710,20483,191789,193439,134846,173779,33585
2003,8481588,225479,37059,145719,150249,524431,181257,100567,16361,11,298181,282218,7439,74669,515917,183853,95127,97365,226869,175693,50897,78270,131395,342161,229728,150877,202865,80786,44758,49432,54724,41733,79140,150831,264488,33393,298632,167551,142960,515896,7906,9660,121352,47683,219783,688275,70507,19971,200270,213916,131777,188594,33184
2004,8687671,229997,40504,155719,158366,548843,194191,100916,16424,14,318024,232203,7298,75553,590417,176520,98517,99007,234974,172421,52665,77481,112996,342418,227846,152294,209316,83545,48436,54754,56791,37376,81546,160222,276480,34690,327040,173188,149688,504813,7712,10054,124153,50323,229401,672995,79967,19490,213062,203432,132846,187097,35427
2005,8952945,235873,44514,176649,164001,611022,206287,97599,17121,20,370645,257815,7575,80343,527134,172249,100344,98311,232589,207954,50319,80947,105347,337035,224165,167713,214241,84060,48172,62727,55761,36582,82051,158781,271527,36000,313159,182031,158045,482977,8988,9649,141811,50768,253450,738793,88981,18607,221725,219559,133667,183013,37911
2006,10036933,243176,47037,204178,170129,617820,214749,97616,16698,252,411728,311901,7588,91018,527698,185655,101430,109143,791599,212176,53106,82207,137148,332428,244712,179087,230374,87770,51221,72963,63159,37318,90321,199015,290024,39436,325132,190741,163705,520454,8473,9936,148604,52675,258500,770236,106653,20713,238862,255387,137925,189228,42376
2007,11177335,245355,49604,192071,169824,855943,221737,116112,15912,136,426180,270468,6521,93897,536975,186864,98888,111502,1587850,208201,51279,80249,165446,311851,248086,175298,274085,90355,52042,70276,65110,36412,93304,212174,289215,42311,326114,189081,162629,562603,8225,10222,150133,54013,241741,783596,127051,19951,241538,276156,132396,180607,42770
