Years,Firearms licenses (Items),        Dealer (Items),        Pawn-broker (Items),        Collector (Items),        Ammunition Manufacturer (Items),        Firearms Manufacturer (Items),        Importer (Items),        Destructive Device Dealer (Items),        Destructive Device Manufacturer (Items),        Destructive Device Importer (Items)
1975,161927,146429,2813,5211,6668,364,403,9,23,7
1976,165697,150767,2882,4036,7181,397,403,4,19,8
1977,173484,157463,2943,4446,7761,408,419,6,28,10
1978,169052,152681,3113,4629,7735,422,417,6,35,14
1979,171216,153861,3388,4975,8055,459,426,7,33,12
1980,174619,155690,3608,5481,8856,496,430,7,40,11
1981,190296,168301,4308,6490,10067,540,519,7,44,20
1982,211918,184840,5002,8602,12033,675,676,12,54,24
1983,230613,200342,5388,9859,13318,788,795,16,71,36
1984,222443,195847,5140,8643,11270,710,704,15,74,40
1985,248794,219366,6207,9599,11818,778,881,15,85,45
1986,267166,235393,6998,10639,12095,843,1035,16,95,52
1987,262022,230888,7316,11094,10613,852,1084,16,101,58
1988,272953,239637,8261,12638,10169,926,1123,18,112,69
1989,264063,231442,8626,13536,8345,922,989,21,110,72
1990,269079,235684,9029,14287,7945,978,946,20,117,73
1991,276116,241706,9625,15143,7470,1059,901,17,120,75
1992,284117,248155,10452,15820,7412,1165,894,15,127,77
1993,283925,246984,10958,16635,6947,1256,924,15,128,78
1994,250833,213734,10872,17690,6068,1302,963,12,122,70
1995,191495,158240,10155,16354,4459,1242,842,14,118,71
1996,135794,105398,9974,14966,3144,1327,786,12,117,70
1997,107554,79285,9956,13512,2451,1414,733,13,118,72
1998,105536,75619,10176,14875,2374,1546,741,12,125,68
1999,103942,71290,10035,17763,2247,1639,755,11,127,75
2000,103157,67479,9737,21100,2112,1773,748,12,125,71
2001,102913,63845,9199,25145,1950,1841,730,14,117,72
2002,103411,59829,8770,30157,1763,1941,735,16,126,74
2003,104105,57492,8521,33406,1693,2046,719,16,130,82
2004,106214,56103,8180,37206,1625,2144,720,16,136,84
2005,106432,53833,7809,40073,1502,2272,696,15,145,87
2006,107316,51462,7386,43650,1431,2411,690,17,170,99
2007,108933,49221,6966,47690,1399,2668,686,23,174,106
2008,112943,48261,6687,52597,1420,2959,688,29,189,113
2009,115395,47509,6675,55046,1511,3543,735,34,215,127
2010,118487,47664,6895,56680,1759,4293,768,40,243,145
2011,123587,48676,7075,59227,1895,5441,811,42,259,161
2012,130956,50848,7426,61885,2044,7423,848,52,261,169
2013,139244,54026,7810,64449,2353,9094,998,57,273,184
2014,141116,55431,8132,63301,2596,9970,1133,66,287,200
2015,139840,56181,8152,60652,2603,10498,1152,66,315,221
2016,137464,56754,8076,57345,2481,11083,1105,71,332,217
2017,136081,56638,7871,55588,2259,11946,1110,78,357,234
2018,134191,55891,7639,54136,2119,12564,1127,98,378,239
2019,130546,53924,7341,52446,1910,13044,1109,129,391,252
